Ano,População Total,Trabalhadores,PIB Total,PIB per Capita,Gasto Total Educação,Gasto Total Saúde,Déficit Vagas Fund.,Déficit Vagas Médio,Déficit Vagas Sup.,Coeficiente Gini,Desemprego
2025,120000.00000000001,87282.97984280507,3862271858.0441246,32185.598817034366,79365019.3095501,180000000.00000003,0,0,0,0.4,0.07
2026,119004.73820334856,86236.67003602149,6980212904.639612,58168.440871996274,71890812.76441552,180000000.00000003,0,0,0,0.40067219430921963,0.07
2027,118213.0521441941,86240.34519915954,7053333527.163326,59269.35039435933,67298200.35270232,178507107.30502287,0,0,0,0.4007299070658997,0.058244294954150545
2028,117406.55399086083,85694.3406745203,7057869766.34736,59704.657297387435,62844268.387608364,177319578.21629113,0,0,0,0.40079406796189676,0.050978869674096934
2029,116578.35734917418,84370.97312209566,6960302741.143363,59283.766574778325,58554194.196409136,176109830.98629126,0,0,0,0.40086184897172594,0.050978869674096934
2030,115719.86833042632,82304.45689583929,6764701784.811011,58027.0810005445,54434989.584257826,174867536.02376127,0,0,0,0.40093284394116546,0.05824429495415054
2031,114823.03836741034,79772.42278316976,6510300735.034535,56259.14399111635,50492280.95250361,173579802.49563947,0,0,0,0.401010333081645,0.07
2032,113882.8526283479,77183.56607473607,6253868972.55206,54465.28032589503,50081417.87395171,172234557.5511155,0,0,0,0.40108813712467417,0.08175570504584947
2033,112898.49186266627,74918.24433284192,6046507214.731602,53094.096917857176,50187727.85737966,170824278.94252184,0,0,0,0.4011709343934001,0.08902113032590309
2034,111872.8259296283,73186.08746686224,5915395300.038224,52395.69813947443,50517149.3810707,169347737.79399937,0,0,0,0.40126218657017404,0.08902113032590309
2035,110810.65940781699,71955.67549579681,5856020340.62711,52345.33312236776,51043318.12415379,167809238.8944425,0,0,0,0.4013613366128741,0.08175570504584947
2036,109716.32484462872,70980.54448099333,5835459641.124489,52661.537006545244,51737664.26001531,166215989.1117255,0,0,0,0.40146363857710465,0.07
2037,108591.83685552608,69906.76638301468,5805039324.919138,52909.53131304486,52571955.13133731,164574487.26694307,0,0,0,0.40156193194811374,0.05824429495415054
2038,107436.10204919941,68416.30502746446,5719113181.799234,52666.14275443249,53521686.259883955,162887755.28328916,0,0,0,0.4016494272248203,0.050978869674096934
2039,106245.26943608042,66349.01413118897,5553482885.002245,51691.031032185296,54567761.23524815,161154153.07379913,0,0,0,0.401722100046532,0.050978869674096934
2040,105014.26583109953,63757.53728748877,5315015704.140104,50025.90451650827,55696018.402394764,159367904.15412065,0,0,0,0.40177983389333616,0.05824429495415054
2041,103738.85798447568,60877.67706102602,5037438849.471252,47969.09076689833,57833560.8644286,157521398.74664935,0,0,0,0.4018229049572343,0.06999999999999999
2042,102423.56351443793,58030.34911166797,4765872122.78902,45941.05058976239,60117437.36192638,155608286.97671354,0,0,0,0.4018569880284029,0.08175570504584946
2043,101071.64749936588,55496.90736306408,4538508019.624287,44311.170827252856,62450196.2916779,153635345.2716569,0,0,0,0.4018882814622431,0.08902113032590307
2044,99688.40885928235,54557.52307022175,4465335950.473339,44179.906640003166,65356528.09133607,151607471.24904883,0,0,0,0.4019353335948869,0.08902113032590309
2045,98285.79992567384,54155.767885055626,4459826123.609694,44737.659820662084,68309637.4992397,149532613.28892347,0,0,0,0.4019844366829403,0.08175570504584947
2046,96870.35336649074,54017.465595707385,4490369654.951187,45686.86075045297,71232338.0973515,147428699.88851073,0,0,0,0.40203010243975695,0.07000000000000002
2047,95446.63900104354,53871.89759616242,4519820164.930929,46658.44613811816,74095626.51990671,145305530.04973614,0,0,0,0.40206570582229817,0.05824429495415055
2048,94017.01138386957,53462.461902811396,4508021195.51583,47230.8008191519,72694733.71617027,143169958.5015653,0,0,0,0.402099052130904,0.05097886967409693
2049,92581.50968325502,52642.064066083796,4436675087.29317,47190.131041054556,70845427.85355987,141025517.07580435,0,0,0,0.40212842040356017,0.05097886967409692
2050,91139.19494159907,51423.25847164727,4308335141.063112,46535.58962046504,68913678.05487283,138872264.5248825,0,0,0,0.40215419652093265,0.05824429495415054
2051,89689.36640609131,49970.44539489321,4147445017.498235,45506.71113735231,66933230.077688314,136708792.4123986,0,0,0,0.40218036830886217,0.06999999999999999
2052,88232.78351353906,48533.42062972816,3989671684.146364,44483.21851312976,64933649.93416619,134534049.60913697,0,0,0,0.40221328939773,0.08175570504584946
2053,86772.23898870058,47348.14118726287,3867254065.8273306,43830.12653379417,62940512.10909676,132349175.27030864,0,0,0,0.4022594896942416,0.08902113032590307
2054,85312.29212439666,46547.676229030585,3797538658.8765755,43764.44244306112,60970722.390752286,130158358.4830509,0,0,0,0.40232318593807487,0.08902113032590309
2055,83858.36941946967,46115.41704987813,3777918907.2085013,44283.40644862466,59030806.93908022,127968438.18659496,0,0,0,0.4024044115895177,0.08175570504584947
2056,82415.61610988188,45896.55347117999,3782399526.8989034,45104.615711985054,57119830.91318682,125787554.12920448,0,0,0,0.4024977281946653,0.07000000000000002
2057,80987.70075431152,45660.961977255356,3783766448.434223,45910.79490796273,55238273.50021365,123623424.16482285,0,0,0,0.4025971462510506,0.05824429495415056
2058,79576.76253322762,45192.69645212141,3752124411.6799364,46329.55839878117,53386850.083463356,121481551.1314673,0,0,0,0.40269609429538195,0.05097886967409694
2059,78183.15732624619,44370.852875118595,3670452553.1645155,46124.67806329588,51572549.406559065,119365143.7998414,0,0,0,0.40279060841296427,0.05097886967409693
2060,76806.17218865831,43217.20485141374,3542218145.9321294,45306.665362092725,49813513.69251278,117274735.98936926,0,0,0,0.40288067835047947,0.05824429495415053
2061,75445.17227497243,41876.069347842335,3388618299.899907,44119.088392745696,48129618.75125797,115209258.28298749,0,0,0,0.40296990735075244,0.06999999999999999
2062,74100.57827795416,40559.04452210091,3239257059.3999395,42935.24637459753,46541323.06660906,113167758.41245864,0,0,0,0.40306424313810496,0.08175570504584946
2063,72774.34051268607,39465.515729145045,3120359113.165966,42109.78086380561,45066318.165567175,111150867.41693124,0,0,0,0.4031698683877223,0.08902113032590307
2064,71469.76178137134,38705.408630215934,3061537509.3447037,42068.914507180896,43696321.14102034,109161510.76902911,0,0,0,0.40329493127260935,0.08902113032590309
2065,70191.71984168504,38264.27238823208,3046186205.713707,42622.028250661606,42428758.18214135,107204642.67205699,0,0,0,0.40343576074179155,0.08175570504584949
2066,68944.04016009111,38013.60040803629,3056228015.1649866,43541.14733273608,41256827.12863183,105287579.76252757,0,0,0,0.4035874580771043,0.07000000000000002
2067,67729.39668976856,37764.15013566176,3066326614.440563,44475.58639325999,40164342.53580679,103416060.24013667,0,0,0,0.40374292701530345,0.058244294954150615
2068,66548.86552789596,37339.56742491209,3051931190.5865602,45060.65814473069,39143884.573112845,101594095.03465281,0,0,0,0.4038953512035117,0.05097886967409694
2069,65401.93068906966,36642.06860332139,2998890642.471476,45062.98670432414,38192561.67960481,99823298.29184395,0,0,0,0.40404064908483495,0.05097886967409693
2070,64287.05901012798,35686.45348684887,2909114485.0062585,44480.55973816079,37312128.13675585,98102896.03360447,0,0,0,0.4041786720126257,0.05824429495415058
2071,63202.639811638874,34591.98312032447,2799402494.5083714,43545.35014686706,36509127.9242869,96430588.51519197,0,0,0,0.4043130476071174,0.06999999999999998
2072,62147.898110929025,33532.89979479392,2693802414.5395656,42621.67565417821,35790089.80729356,94803959.71745832,0,0,0,0.4044498106487952,0.08175570504584939
2073,61123.383534536755,32670.9401954414,2613942915.1282897,42060.03733967911,35159586.341880724,93221847.16639353,0,0,0,0.40459522569980033,0.08902113032590307
2074,60130.883662631524,32096.486473574776,2571529250.68702,42071.12077219969,34617825.59698215,91685075.30180514,0,0,0,0.40475330473033055,0.08902113032590309
2075,59172.85775416145,31797.545546025034,2564945492.6900473,42656.04189489064,34159903.02473238,90196325.49394728,0,0,0,0.4049239110216436,0.08175570504584943
